# iteración mejor promedio
105 0.4890670433393643 0.9456164182735937
106 0.4890670433393643 1.393269094574
107 0.4890670433393643 0.5084709328722935
108 0.4890670433393643 0.6418911141268192
109 0.4890670433393643 0.505729724328298
110 0.4890670433393643 0.9461272089294649
111 0.4890670433393643 0.6017539557368201
112 0.4890670433393643 0.7292896493318385
113 0.4890670433393643 0.501137529093072
114 0.4890670433393643 0.8349631691744652
115 0.4890670433393643 0.7961510636345595
116 0.48898313664881116 0.5007643599995609
117 0.48869081985807966 0.5001315084944722
118 0.48869081985807966 0.5741368591097187
119 0.48869081985807966 0.573051425766281
120 0.48869081985807966 0.49932975845066224
121 0.48869081985807966 0.978282192338205
122 0.4884340478135299 0.4979611653502496
123 0.4884340478135299 1.1401762088870158
124 0.48837699896487763 0.49741024100497094
125 0.48837699896487763 1.6614918303910533
126 0.48837699896487763 0.7032401236618349
127 0.48803066233961767 0.5714146708035363
128 0.48803066233961767 0.5705561353949034
129 0.48803066233961767 1.6276957142728066
130 0.48803066233961767 1.0030476580469792
131 0.48803066233961767 1.7240661932495172
132 0.48757220388812794 1.7734266926672957
133 0.46629859597911344 1.7551359384317886
134 0.46629859597911344 0.49397619054371456
135 0.46629859597911344 0.8296270420688113
136 0.4659749533086526 1.1599262876379601
137 0.4659419332733762 1.1751987961859263
138 0.4659419332733762 1.8131520428189405
139 0.46557752837358585 0.6009384675145842
140 0.4637054140146297 0.5689399598865582
141 0.4637054140146297 0.7137862354422928
142 0.4630515600003026 1.6772554336401742
143 0.463044988513557 0.9961025686295385
144 0.463044988513557 0.49189911405190484
145 0.463044988513557 2.015802870185793
146 0.46303537275389095 0.8906872630556373
147 0.46303537275389095 0.8093860780126951
148 0.46303537275389095 1.3368690262449943
149 0.4628292098333383 0.4883566026083438
150 0.4627355218609412 0.6513735474630451
151 0.4627355218609412 1.5811008707980192
152 0.4627355218609412 0.9631648509950564
153 0.46226292358356413 1.314630369200807
154 0.4619907092318078 0.4877993016027182
155 0.4619907092318078 0.4887085631811046
156 0.4619907092318078 1.0354447373425903
157 0.4619907092318078 1.0554728246660583
158 0.46190872110839676 0.7841934874755231
159 0.46190872110839676 0.523968510866021
160 0.46190158609522886 0.486605576598474
161 0.46190158609522886 0.4852922581208704
162 0.46190158609522886 0.7236797207744168
163 0.46190158609522886 1.7524034246323539
164 0.46190158609522886 0.8879909948872394
